OBJECTID,Aadress,Toidukoht_arv,Teenustase,Teenus_arv,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Parkimisnorm,Parkimis_koefitsent,GlobalID
6355,Suur kaar 20,1,-,3,22.75907029,1,0,3,100,1,{41FD30E4-8F44-456E-991A-33EC33A33B1F}
6356,Pohla tn 9/4,2,Baastase,2,27.01376942,1,1,2,86,0.86493115,{E849245F-207F-4601-AA0E-9E7B91C4075C}
6357,J. Hurda tn 20,6,Baastase,21,54.411664,2,2,3,73,0.72794168,{A90341EC-D58A-47C1-9315-23944640F55C}
6358,Lepiku tn 14,16,Baastase,25,45.85993734,1,3,1,77,0.77070031,{16DCAA4B-34EA-4E0D-AF1F-86B2E2E6228C}
6359,Veski tn 36,69,Hea tase,46,54.14316526,3,6,5,46,0.45856835,{2D68BDD6-268A-40C6-B707-510959418794}
6360,Sepakuru tn 2a,2,Baastase,8,52.74983125,1,3,3,74,0.73625084,{1E644135-0A1E-444B-BA6A-1D55C223434F}
6361,Sirbi tn 22,8,Baastase,10,60.52284883,2,5,4,70,0.69738576,{42459A4E-103A-4A4A-A754-2720C061ED6D}
6362,Vasara tn 26,9,Baastase,10,59.55781492,2,5,3,70,0.70221093,{7319EE24-634B-450D-860E-A78E5EFC355D}
6363,Ploomi tn 10,6,Baastase,11,24.85872404,1,2,3,88,0.87570638,{EA727D0A-C4DA-41CA-A481-04ACC77AE6D1}
6364,Alasi tn 14,1,Baastase,9,56.72219493,1,1,2,72,0.71638903,{59E676C8-65BA-4279-BFFA-9CC52A8D6648}
6365,Männimetsa tee 64,0,-,2,1.30585777,0,0,2,100,1,{9AF04BDB-F3AE-4E40-823B-F544501F151D}
6366,Tamme pst 16,4,Baastase,8,46.02491363,1,1,3,77,0.76987543,{453625EC-84CA-4C33-8A08-C469DEF45A62}
6367,Saekoja tn 44,8,Baastase,14,56.94225541,1,1,5,72,0.71528872,{05525C2D-2C5A-402E-8972-B492713F3675}
6368,Kopli tn 21b,0,-,2,21.50920833,1,0,0,100,1,{7D0EF40F-9FF2-4095-8763-01525E864EC0}
6369,Arhitekti tn 16,1,-,2,17.45747273,1,0,2,100,1,{47600FCD-6203-4D92-B603-D9D093A726DF}
6370,L. Koidula tn 15,10,Baastase,9,47.10619953,2,2,2,76,0.764469,{34B1D5B5-1A69-4478-8B54-9AD1E327B343}
6371,Muraka tn 1,3,Baastase,2,27.73585613,1,1,2,86,0.86132072,{1B0F282E-496A-4982-8DC6-D89A1F1B2F22}
6372,Nisu tn 47,2,-,2,17.89202671,1,0,2,100,1,{1CF81BEC-28C5-49B7-AEC7-C449FCF4AC95}
6373,Riia tn 108,4,Baastase,13,44.87604455,1,1,1,78,0.77561978,{5F975686-4901-4A67-89B5-5E477933B1A4}
6374,Kalevi tn 74,11,Baastase,10,63.72642809,1,2,7,68,0.68136786,{D8AB82F9-A5CC-424D-B6A4-1D467214B462}
6375,Lemmatsi tn 3,1,Baastase,2,37.53394615,1,2,1,81,0.81233027,{BADEE48F-6790-4A95-B9B5-9FB7767B51A1}
6376,Raudtee tn 62a,1,-,2,23.95289557,1,0,1,100,1,{8F47B90A-EA07-4F1C-9B8D-2116BA3F09FE}
6377,Aardla tn 60,2,-,2,46.80316932,1,0,1,100,1,{28426129-0335-4024-A183-84B3191878F1}
6378,Võru tn 224,1,Baastase,10,55.75481825,1,2,3,72,0.72122591,{DF904213-E1D6-4893-98FA-1FD50FBAD4BF}
6379,Võru tn 222,3,Baastase,10,55.32841337,1,2,3,72,0.72335793,{FAD42320-FE98-404E-B94C-C5D9A425FC6C}
6380,Pääsukese tn 9,2,Baastase,1,39.52809272,2,1,2,80,0.80235954,{884ACA8F-B5F1-4882-92D5-42AEFA0AB49A}
6381,Lembitu tn 20,8,Baastase,20,54.36717381,2,1,4,73,0.72816413,{47CBD17E-08D4-4C25-9FCF-28F7AEBF93E7}
6382,Remmelga tn 1a,9,Baastase,28,50.86583751,5,3,6,75,0.74567081,{E8A6E5A4-DA7F-40D6-9588-0DB35AA3F103}
6383,Tähe tn 119,8,Baastase,4,59.55781492,1,5,3,70,0.70221093,{EC3E4148-EDDA-4183-AEFD-FD8200557707}
6384,Ropka tn 16,8,Baastase,4,60.32640962,2,3,4,70,0.69836795,{EEE26802-2669-4A20-B351-C83F7492238A}
6385,Ehitaja tn 8,6,Baastase,21,53.12005254,1,1,3,73,0.73439974,{431D5D14-0384-452A-869E-CFDB022700CA}
6386,Küüni tn 3 // 5,152,Hea tase,122,74.48774339,3,4,11,26,0.25512257,{27A3EB7F-1045-499B-BCA9-8B80EAED9779}
6387,Nõmme tn 8,2,-,3,14.73521521,0,1,3,100,1,{F73DD9F8-8C05-4461-BC4A-50B74591B2D9}
6388,Tedre tn 7,0,-,1,42.07428669,1,0,3,100,1,{FFCA223B-0743-4BAE-B541-760FE84395E9}
6389,Tamme pst 56a,1,Baastase,6,35.23038612,1,2,1,82,0.82384807,{5FBAC911-025B-4A7E-90F8-6EC8113C3A16}
6390,Puhkekodu tn 29,2,-,4,31.85709055,0,0,2,100,1,{1E1328A8-60D4-4771-A342-F7595D1B5517}
6391,Kopli tn 50,0,-,1,24.12744236,0,0,1,100,1,{3AFEDCD9-603E-43EA-8EE8-A82C0240B7C6}
6392,Suur kaar 69,5,Baastase,19,54.80306748,1,1,3,73,0.72598466,{6EE1A72B-0647-417F-8560-86BC632B0507}
6393,Anne tn 7a,12,Baastase,17,55.6305631,4,1,9,72,0.72184718,{9426581B-A835-4009-A413-B3F3E6970E51}
6394,Leegi tn 7,4,Baastase,9,54.68093424,1,2,3,73,0.72659533,{B460C0C1-0FC9-4824-B330-6B8A8E8C8EC2}
6395,Ilmatsalu tn 10,4,Baastase,23,49.15849886,1,4,3,75,0.75420751,{362EBB08-E7BE-4BDF-BC9B-E30B4E3729F1}
6396,Kastani tn 6a,26,Baastase,34,57.19197893,3,6,4,71,0.71404011,{496D8CA1-09BB-4C12-9E3E-4E2715FC2C36}
6397,Ilmatsalu tn 14a/9,4,Baastase,23,47.85074099,1,3,3,76,0.7607463,{8D43E55F-F77D-46D2-A60F-E910D90C8CF5}
6398,Ilmatsalu tn 14a/8,4,Baastase,23,47.85074099,1,3,3,76,0.7607463,{B55DAF67-67AD-40BA-B0C3-862DDC5F6ED8}
6399,Ilmatsalu tn 14a/7,4,Baastase,22,47.85074099,1,3,3,76,0.7607463,{D82EC9F3-179F-4C08-936D-CB4854C959EB}
6400,Ilmatsalu tn 14a/5,4,Baastase,21,47.85074099,1,3,3,76,0.7607463,{97F4CEB8-3440-435C-89FB-8EAFE9B19A78}
6401,Aida tn 3,42,Hea tase,39,62.65127054,1,5,10,37,0.37348729,{3FD44FBD-1F33-4D56-9129-2B479B53A392}
6402,Kalevi tn 108a,5,-,11,36.10460767,2,0,5,100,1,{E8E39C71-18C2-43EB-8379-5A361D59E584}
6403,Kalda tee 16,14,Hea tase,24,30.52932772,5,4,9,69,0.69470672,{92A300E0-416D-465B-B398-1A61470EF6A7}
6404,Kompanii tn 12 // Munga tn 9,134,Hea tase,119,64.71200012,1,2,11,35,0.35288,{C6185C8D-5B16-4EF9-8890-5F9A6508BA44}
6405,Pohla tn 9/1,2,Baastase,3,27.01376942,1,1,2,86,0.86493115,{5B653664-BA77-40BC-AB0C-F2CC979EF4C1}
6406,Teguri tn 13,8,Baastase,14,59.28507624,1,1,4,70,0.70357462,{61418AB7-5FC0-409E-BB2D-8D198A60356D}
6407,Pohla tn 9/2,2,Baastase,2,27.01376942,1,1,2,86,0.86493115,{57E02D48-559B-440D-BDBA-F7FCE4B84BA9}
6408,Lääne tn 28a,1,Baastase,1,18.26205342,1,1,2,91,0.90868973,{38EF938A-41E2-4075-B707-91B8A3B0757C}
6409,Jaama tn 143b,9,Baastase,17,54.24921728,4,3,5,73,0.72875391,{C36F73B9-FBAE-41E8-89C9-A573C970FA6F}
6410,Tähe tn 91,6,Baastase,10,58.7244507,1,1,5,71,0.70637775,{844594F6-1B85-4E8A-AAEC-1D85B7497CA4}
6411,Saekoja tn 31a,8,-,14,56.66994871,1,0,5,100,1,{11B3416A-6D12-47D4-9D47-F39438F53FE6}
6412,Raua tn 19,4,Baastase,10,46.2596271,2,1,4,77,0.76870186,{CCF38CCF-D4E2-4571-992E-BE7F9BC19F11}
6413,Kesa tn 7,0,-,3,21.3832788,1,0,1,100,1,{ADB43860-6ADD-4E5E-92BF-B2562796B4C0}
6414,Voolu tn 37,0,-,0,10.85582082,0,0,0,100,1,{EECD3935-606F-4079-90D6-E3045A178897}
6415,Puhkekodu tn 3,6,-,17,34.17026294,0,0,4,100,1,{C20E53F9-6EEE-4880-8FE0-F29286BE16DC}
6416,Kolde tn 18,3,Baastase,10,52.59999733,1,1,2,74,0.73700001,{08E573CD-680D-4B0F-8392-7D8D61D56617}
6417,Sirbi kaar 2,9,Baastase,10,64.595214,2,2,3,68,0.67702393,{C3FDE0B4-3BF4-4802-B208-2FF5235567C6}
6418,Rannakajaka tn 10,0,-,1,0.11265612,0,0,2,100,1,{DF300DA3-F98F-445B-AE5A-B851E34E1107}
6419,Uus tn 42,11,Baastase,17,55.28835382,3,1,12,72,0.72355823,{0CD3FDFB-D1FA-442D-8988-BFE48F993B8A}
6420,Vainu tn 21,2,-,4,11.44440097,0,2,2,100,1,{8A9B072C-98C7-4EE3-976A-ECB8BC6A92E0}
6421,J. Koorti tn 10,0,-,2,0.29213362,0,0,2,100,1,{28101D56-2BCE-49F9-B0DE-9CCA1FDB15C9}
6422,Põhjatamme pst 46,0,-,0,0.29213362,0,0,2,100,1,{BFC68D7F-76CC-4821-83EC-41D17E8FD665}
6423,V. Ormissoni tn 12,0,-,2,1.30585777,0,0,2,100,1,{79577AEB-2D8A-4C17-BC8F-BAACF4D110A9}
6424,H. Mugasto tn 5,0,-,3,0.29213362,0,0,2,100,1,{99835DC2-BE83-4CA3-AAF4-CA49B6B1AAE2}
6425,Ujula tn 29,5,Baastase,12,49.86329209,1,2,3,75,0.75068354,{2DE1D19A-7C6A-4CA0-AC08-E672129F9A41}
6426,Männimetsa tee 68,0,-,2,1.30585777,0,0,2,100,1,{DFF10B19-496C-46CF-8E10-1A7C9900BB50}
6427,E. Wiiralti tn 27,0,-,2,1.72947429,0,0,0,100,1,{C93EACA9-C8C8-4B2C-B187-3D8CD55D9549}
6428,A. Laigo tn 5,0,-,2,0.29213362,0,0,2,100,1,{0B1B477A-8B87-4548-A790-B92BFA69888F}
6429,E. Wiiralti tn 37,0,-,2,0.1794775,0,0,2,100,1,{F4251E36-F9FD-45F0-8C4F-69B5E27EFA47}
6430,Künni tn 3,1,-,3,15.51371802,0,1,2,100,1,{1991AA1D-FA12-4D68-A9C4-6FDDB1AC190C}
6431,Niidu tn 1,1,-,1,44.48338115,0,2,3,100,1,{B5E04652-57F1-4AE2-B4BC-6EDC2B15665B}
6432,Ilmatari tn 6,6,-,19,54.66365731,1,0,4,100,1,{5CE10BD7-08FF-40D9-B2B9-5FA2F19DB5B0}
6433,Sangla tn 43,5,Baastase,12,51.79835483,1,2,3,74,0.74100823,{95C38C2F-7E21-45DC-865C-657CC79BE6E3}
6434,Kressi tn 28,2,Baastase,7,25.29150148,1,3,3,87,0.87354249,{FB4C50A6-22CC-42AC-BBFE-B5CFFB841C03}
6435,Oa tn 32,4,Baastase,26,42.88078887,1,2,1,79,0.78559606,{176A91E2-5F8D-475D-80A1-6C266D791B91}
6436,Võru tn 14,82,Hea tase,57,84.85645074,3,8,11,15,0.15143549,{5B3D3C4C-353A-431D-83CB-5732C2FF86E8}
6437,Tamme pst 128,0,-,2,18.80305927,0,1,1,100,1,{3D9944B7-46FE-486F-848D-1F38B4E5B304}
6438,Tehase tn 1,8,Baastase,17,57.5592095,1,1,4,71,0.71220395,{BE56600B-757A-4B6F-9F18-2341FCF2C08C}
6439,Riia tn 111,3,Baastase,13,43.46130458,1,1,1,78,0.78269348,{C2880D79-C63B-4770-A10B-A02D9A0369D3}
6440,Riia tn 98,4,Baastase,16,57.41037963,1,1,3,71,0.7129481,{0B7D9A10-3F6E-4644-8F0E-F736BCE28405}
6441,Lina tn 2,36,Hea tase,36,61.93167448,1,5,11,38,0.38068326,{5744C575-F349-4230-B1E8-1B14D258FB77}
6442,Kesa tn 8,0,-,3,21.3832788,1,0,0,100,1,{B11A470E-C821-4A47-BD1C-D15C2DA67418}
6443,Kalevi tn 104,7,Baastase,12,50.77414758,2,1,5,75,0.74612926,{1CD0611C-DD5D-4177-8F5E-8902B4487049}
6444,Aardla tn 59,1,Baastase,3,45.49057318,1,1,1,77,0.77254713,{FB1B5AFA-E16B-4C06-B18D-45FEDBCDF694}
6445,Puiestee tn 96,9,Baastase,14,52.67945291,1,2,4,74,0.73660274,{8E3BC447-C28C-4259-B594-01BD94DDD564}
6446,Koidutähe tn 43,0,-,2,1.30585777,0,0,2,100,1,{5472FAB3-02AF-4B25-8C35-5C8C46C3A1EC}
6447,Koidutähe tn 18,0,-,2,1.30585777,0,0,2,100,1,{925CAE37-412B-4DF1-8839-AFF7BCDBAB64}
6448,Narva mnt 122a,6,-,11,50.36891419,0,1,3,100,1,{950512D9-FE31-4E8F-9F64-BDF7DD2A4437}
6449,Soinaste tn 19,1,Baastase,6,40.34856978,1,2,1,80,0.79825715,{E925CB21-E30E-4B1A-913D-835DE1B42DEA}
6450,Timuti tn 42,0,-,0,17.3946792,0,0,0,100,1,{AF263705-338E-4EBB-ABE3-27529C944496}
6451,Võru tn 200b,8,Baastase,13,55.77958756,1,2,3,72,0.72110206,{A89FA30B-27A1-45C5-8B0C-E1268AC6CBB3}
6452,Muru tn 1,1,-,4,11.40936163,0,2,2,100,1,{11705DD0-4ED8-4798-9F04-F30F071FDC8B}
6453,Jaama tn 56a,8,Baastase,16,57.47725257,2,2,9,71,0.71261374,{9DA1F8C0-A67C-4923-B937-7DCEB5EF218F}
6454,Staadioni tn 26,7,-,11,49.91884815,0,1,3,100,1,{B18F7118-464A-44D0-82CE-14F4E161FB1A}
6455,Eha tn 15a,21,Baastase,22,61.57019186,2,1,4,69,0.69214904,{DE36DAA9-5A2B-4915-88EC-C50895043F6A}
6456,Alevi tn 23,6,Baastase,12,58.16056785,1,1,5,71,0.70919716,{137BE236-1FF3-4F90-9AF8-DAEA97A400F2}
6457,Nurme tn 27a,1,-,3,12.10923098,0,2,2,100,1,{08463D1B-CBB9-469D-B0C9-1F1E33E45A37}
6458,Orava tn 21,6,Baastase,9,36.4778946,1,1,4,82,0.81761053,{8532FD41-2127-46CB-A295-78DEB7D02AE3}
6459,Kvissentali põik 5,0,-,2,2.75231654,0,0,2,100,1,{273CA420-FED0-49DD-9772-42041FE74262}
6460,Jaama tn 105,11,Baastase,19,53.53757378,3,1,5,73,0.73231213,{D23F96F0-24F0-4D3C-9ECE-0B9875778CC6}
6461,Salme tn 3,11,Baastase,9,59.18204609,1,3,9,70,0.70408977,{727B57DD-62F5-4626-8041-81F2DBD82076}
6462,Nisu tn 46,0,-,2,17.45747273,1,0,2,100,1,{98A4148B-5BF6-4B74-9E0C-E3D25602C7D9}
6463,Kressi tn 30,2,Baastase,7,25.29150148,1,3,3,87,0.87354249,{B1E2C7B4-7B63-4EA4-8ECC-670580127C17}
