Index,Address,Room Count,Size,Price
52,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-16",2,50 m²,151 900 €
53,"Tartu, Tartu linn, Annelinn, Anne 47",1,27 m²,83 000 €
54,"Tartu, Tartu linn, Annelinn, Rõduga korter teisel korrusel, Kaunase pst 12",2,47.2 m²,85 000 €
55,"Tartu, Tartu linn, Karlova, Võru 108-4",2,31.1 m²,139 000 €
56,"Tartu, Tartu linn, Annelinn, Kaunase pst 7",3,65.7 m²,109 000 €
57,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-2 (Broneeritud)",3,70.4 m²,208 900 €
58,"Tartu, Tartu linn, Kesklinn, Rebase tn 25",2,54.1 m²,195 000 €
59,"Tartu, Tartu linn, Ränilinn, Aardla tn 132",2,48.1 m²,123 000 €
60,"Tartu, Tartu linn, Veeriku, L. Puusepa tn 24",2,51.5 m²,82 000 €
61,"Tartu, Tartu linn, Annelinn, Anne tn 47",2,37.3 m²,85 000 €
62,"Tartu, Tartu linn, Supilinn, Herne 15",2,45.1 m²,96 000 €
63,"Tartu, Tartu linn, Ropka tööstusrajoon, Vasara tn 25b",2,49.2 m²,104 000 €
64,"Tartu, Tartu linn, Tähtvere, Tähtvere tn 16-9",1,24.9 m²,67 000 €
65,"Tartu, Tartu linn, Ränilinn, Laseri tn 6a",1,34.4 m²,119 000 €
66,"Tartu, Tartu linn, Annelinn, Anne 77",3,63 m²,115 000 €
67,"Tartu, Tartu linn, Vaksali, Vabriku 3",2,39.2 m²,159 000 €
68,"Tartu, Tartu linn, Vaksali, Võru tn 53a",3,60.1 m²,125 000 €
69,"Tartu, Tartu linn, Annelinn, Kalda tee 28-35",3,72.7 m²,112 000 €
70,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 13 (Broneeritud)",1,33.6 m²,79 900 €
71,"Tartu, Tartu linn, Ülejõe, Ranna tee 1a",2,47.4 m²,160 000 €
