Index,Address,Room Count,Size,Price,Accessibility
141,"Tartu, Tartu linn, Annelinn, Kaunase pst 39",1,33.7 m²,79 500 €,Baastase
142,"Tartu, Tartu linn, Annelinn, Kaunase pst 15",3,63 m²,115 500 €,Baastase
143,"Tartu, Tartu linn, Annelinn, Anne 49",2,47 m²,79 000 €,Hea tase
144,"Tartu, Tartu linn, Kesklinn, KAKS KÖÖKTUBA!, Aleksandri tn 16 (Broneeritud)",2,24 m²,68 000 €,Hea tase
145,"Tartu, Tartu linn, Ülejõe, Uus tn 13b",2,41.2 m²,115 500 €,Baastase
146,"Tartu, Ülejõe, Staadioni 3",2,56.5 m²,180 750 €,Hea tase
147,"Tartu, Tartu linn, Ropka tööstusrajoon, Vasara tn 25",1,16 m²,34 000 €,Baastase
148,"Tartu, Tartu linn, Annelinn, Kaunase Puiestee 13-23",2,46.7 m²,105 000 €,-
149,"Tartu, Tartu linn, Ülejõe, Pärna tn 23-1",3,47.4 m²,144 000 €,Baastase
150,"Tartu, Tartu linn, Annelinn, Jaama tn 193-71",1,30.3 m²,67 000 €,Baastase
151,"Tartu, Tartu linn, Ränilinn, Aardla 132",3,65.7 m²,120 000 €,-
152,"Tartu, Tartu linn, Raadi-Kruusamäe, Jänese tn 22-4",2,32 m²,26 500 €,Baastase
153,"Tartu, Tartu linn, Ropka, Ülenurme alevik, Paruni 17-5/1",3,61 m²,154 900 €,-
154,"Tartu, Tartu linn, Annelinn, Anne tn 53",3,59.4 m²,87 000 €,Hea tase
155,"Tartu, Tartu linn, Veeriku, Sangla tn 25-25",3,59.9 m²,123 000 €,Baastase
156,"Tartu, Tartu linn, Supilinn, Emajõe tn 12",5,135.5 m²,269 000 €,Baastase
157,"Tartu, Tartu linn, Raadi-Kruusamäe, Vilja",4,62 m²,149 000 €,-
158,"Tartu, Tartu linn, Vaksali, Kooli tn 18-3",2,41 m²,115 000 €,Baastase
159,"Tartu, Tartu linn, Karlova, L. Tolstoi tn 9",2,28.7 m²,85 900 €,Baastase
160,"Tartu, Tartu linn, Raadi-Kruusamäe, Muru tn 20",1,22 m²,67 000 €,-
161,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9-55",3,58.7 m²,92 900 €,Baastase
162,"Tartu, Kesklinn, Väike-Turu 5",2,49.5 m²,177 500 €,Hea tase
163,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 7",3,72.4 m²,240 000 €,-
164,"Tartu, Tartu linn, Annelinn, Jaama tn 191",3,65.5 m²,114 000 €,Baastase
165,"Tartu, Tartu linn, Ülejõe, Mäe tn 12  UUS HIND!",2,37 m²,55 000 €,Hea tase
166,"Tartu, Tartu linn, Karlova, Turu tn 35a-7",2,35.8 m²,135 000 €,-
167,"Tartu, Tartu linn, Ülejõe, Ujula põik 8",2,41.1 m²,181 500 €,-
168,"Tartu, Tartu linn, Veeriku, Ravila tn 42",1,28.5 m²,76 000 €,Baastase
169,"Tartu, Tartu linn, Ülejõe, Pikk tn 52 (Broneeritud)",3,48.6 m²,123 456 €,Hea tase
170,"Tartu, Annelinn, Kalda tee 28",3,57.7 m²,79 900 €,Baastase
171,"Tartu, Tartu linn, Variku, Timuti tn 5",6,106.9 m²,205 000 €,-
172,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadi, Tila, Vahi, Tartu, Pärna allee 10-1",2,63.1 m²,138 900 €,-
173,"Tartu, Tartu linn, Annelinn, Linnupargi, Ihaste põik 34",3,54.1 m²,179 750 €,-
174,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-10",3,63 m²,180 900 €,-
175,"Tartu, Tartu linn, Annelinn, Annelinn, Mõisavahe 35",3,65.5 m²,110 000 €,Baastase
176,"Tartu, Tartu linn, Annelinn, Jaama tn 185-34",2,45.9 m²,95 000 €,Baastase
177,"Tartu, Tartu linn, Ülejõe, Jaama tn 77-35",2,49.4 m²,129 000 €,Baastase
178,"Tartu, Kesklinn, Jaama tn 52a",4,85 m²,309 900 €,Baastase
179,"Tartu, Tartu linn, Annelinn, Kaunase pst.",2,45.8 m²,77 900 €,-
180,"Tartu, Kesklinn, Kalevi 4",2,56.8 m²,159 000 €,Hea tase
181,"Tartu, Tartu linn, Annelinn, Kalda tee 20",2,38.4 m²,99 900 €,Baastase
182,"Tartu, Tartu linn, Karlova, Tähe tn 91",2,42 m²,114 000 €,Baastase
183,"Tartu, Tartu linn, Annelinn, Annelinn, Anne 59",3,67 m²,109 970 €,Hea tase
184,"Tartu, Tartu linn, Annelinn, Sõpruse pst 8 (Broneeritud)",3,58.8 m²,112 900 €,Hea tase
185,"Tartu, Tartu linn, Karlova, Siili tn 2",3,61.3 m²,223 000 €,-
186,"Tartu, Tartu linn, Annelinn, Anne 86",2,45.8 m²,89 900 €,Baastase
187,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli 20a",4,97.4 m²,240 000 €,-
188,"Tartu, Tartu linn, Raadi-Kruusamäe, Kaupmehe 15",2,58.1 m²,142 000 €,-
189,"Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia tn 20a",3,63.6 m²,265 000 €,Hea tase
190,"Tartu, Ülejõe, Staadioni 3",1,32.3 m²,125 750 €,Hea tase
191,"Tartu, Tartu linn, Karlova, Kesk 7",1,16 m²,63 900 €,Hea tase
192,"Tartu, Tartu linn, Ihaste, Krookuse tn",4,99.6 m²,219 000 €,-
193,"Tartu, Tartu linn, Annelinn, Kaunase pst 52",3,63 m²,115 000 €,Baastase
194,"Tartu, Tartu linn, Annelinn, Jaama 181",3,68.4 m²,89 900 €,Baastase
195,"Tartu, Tartu linn, Ülejõe, Ujula tn 81-12",3,53.4 m²,269 000 €,-
196,"Tartu, Tartu linn, Kesklinn, Jakobi 25",3,75.4 m²,202 500 €,Hea tase
197,"Tartu, Tartu linn, Kesklinn, Kroonuaia tn 31-6",3,69.4 m²,320 000 €,Hea tase
198,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-8",2,45.9 m²,148 900 €,-
199,"Tartu, Ülejõe, Pikk tn 82",2,43.1 m²,110 000 €,Hea tase
200,"Tartu, Tartu linn, Kesklinn, Kivi tn 21 (Broneeritud)",2,49.2 m²,122 000 €,Hea tase
201,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 11-39",3,58 m²,190 000 €,-
202,"Tartu, Tartu linn, Ropka, Ülenurme alevik, Paruni 17-5/2",2,58.9 m²,129 900 €,-
203,"Tartu, Tartu linn, Veeriku, Ravila tn 56",4,76.6 m²,154 000 €,Baastase
204,"Tartu, Tartu linn, Ülejõe, Uus tn 27",2,41.4 m²,109 000 €,Baastase
205,"Tartu, Tartu linn, Annelinn, Kaunase pst 61-29",2,46.3 m²,74 800 €,Baastase
206,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 46",3,65.2 m²,120 000 €,Baastase
207,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 2",1,33.7 m²,88 800 €,Baastase
208,"Tartu, Tartu linn, Kesklinn, Pepleri tn 34 (Broneeritud)",1,15 m²,89 000 €,Hea tase
209,"Tartu, Tartu linn, Karlova, Kesk tn 16-6",2,32 m²,108 000 €,Hea tase
210,"Tartu, Tartu linn, Ülejõe, Mäe tn",1,15 m²,31 000 €,-
211,"Tartu, Tartu linn, Karlova, Kesk tn 19 (Broneeritud)",3,64 m²,159 900 €,Baastase
212,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 22-3",4,91.3 m²,256 900 €,-
213,"Tartu, Tartu linn, Ropka, Ropka mõis, Ropka tee 6-3",2,44.2 m²,114 000 €,Baastase
214,"Tartu, Tartu linn, Veeriku, Ilmatsalu tn 46",4,78.2 m²,171 000 €,Baastase
215,"Tartu, Tartu linn, Kesklinn, Veski 24a",3,94.6 m²,237 000 €,Baastase
216,"Tartu, Tartu linn, Veeriku, Veeriku tn 14",1,30.1 m²,72 000 €,Baastase
217,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-8",3,75.4 m²,199 900 €,-
218,"Tartu, Tartu linn, Karlova, Kalevi tn 60-16",2,52.7 m²,149 900 €,Baastase
219,"Tartu, Tartu linn, Ropka, HEA PAKKUMINE!, Aardla 9a  UUS HIND!",3,61.3 m²,103 000 €,Baastase
220,"Tartu, Tartu linn, Ropka, Ropka 15A-39",3,62.3 m²,128 000 €,Baastase
221,"Tartu, Tartu linn, Tammelinn, Savi tn 8-12",4,77.7 m²,183 000 €,-
222,"Tartu, Tartu linn, Tammelinn, Haki tn 6-6",4,86 m²,240 000 €,-
223,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli tn 12",3,74.8 m²,156 900 €,-
224,"Tartu, Tartu linn, Annelinn, Jaama 189",3,65.5 m²,125 000 €,Baastase
225,"Tartu, Tartu linn, Annelinn, Kalda tee 28",1,27 m²,69 900 €,Baastase
226,"Tartu, Tartu linn, Ülejõe, Ujula põik 6-1",1,31.9 m²,144 500 €,-
227,"Tartu, Tartu linn, Karlova, Raua 15B-8",3,94.5 m²,255 000 €,-
228,"Tartu, Tartu linn, Annelinn, Jaama 179",2,45.7 m²,85 000 €,Baastase
229,"Tartu, Tartu linn, Tähtvere, C. R. Jakobsoni tn 18",2,46.3 m²,126 000 €,Baastase
230,"Tartu, Tartu linn, Kesklinn, Lai tn 29",2,32 m²,135 000 €,Hea tase
231,"Tartu, Tartu linn, Karlova, Tähe tn 87  UUS HIND!",3,62.8 m²,172 000 €,Baastase
232,"Tartu, Tartu linn, Veeriku, Näituse tn 36-15",6,112.9 m²,50 000 €,Baastase
