ads_oid,ehr_gid,ehr_kood,ehr_url,etak_id,taisaadres,lahiaadres,kaos_kood,kaos_nimet,unik,MYRAKLASS
EE00748003,"104013840",104013840,https://livekluster.ehr.ee/ui/ehr/v1/building/104013840,726201,"Tartu maakond, Tartu linn, Tartu linn, Kuu tn 16b",Kuu tn 16b,"11101",Üksikelamu,Jah,"55"
EE00749116,"104015069",104015069,https://livekluster.ehr.ee/ui/ehr/v1/building/104015069,723171,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 71",Tähe tn 71,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00748002,"104013839",104013839,https://livekluster.ehr.ee/ui/ehr/v1/building/104013839,642111,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 97",Kalevi tn 97,"11101",Üksikelamu,Jah,"55"
EE00773270,"104041213",104041213,https://livekluster.ehr.ee/ui/ehr/v1/building/104041213,719377,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 74c",Kalevi tn 74c,"11101",Üksikelamu,Jah,"55"
EE00778227,"104046429",104046429,https://livekluster.ehr.ee/ui/ehr/v1/building/104046429,723341,"Tartu maakond, Tartu linn, Tartu linn, Vaba tn 1a",Vaba tn 1a,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE01109238,"120246274",120246274,https://livekluster.ehr.ee/ui/ehr/v1/building/120246274,742494,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 9",Kalevi tn 9,"11222; 12201","Muu kolme või enama korteriga elamu; Büroohoone",Jah,"55"
EE03869324,"121331582",121331582,https://livekluster.ehr.ee/ui/ehr/v1/building/121331582,7884309,"Tartu maakond, Tartu linn, Tartu linn, Aida tn 2a",Aida tn 2a,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00765398,"104032437",104032437,https://livekluster.ehr.ee/ui/ehr/v1/building/104032437,644980,"Tartu maakond, Tartu linn, Tartu linn, Lootuse tn 25a",Lootuse tn 25a,"11101",Üksikelamu,Jah,"55"
EE00750338,"104016385",104016385,https://livekluster.ehr.ee/ui/ehr/v1/building/104016385,723393,"Tartu maakond, Tartu linn, Tartu linn, Piiskopi tn 2",Piiskopi tn 2,"11101",Üksikelamu,Jah,"55"
EE00764691,"104031672",104031672,https://livekluster.ehr.ee/ui/ehr/v1/building/104031672,722451,"Tartu maakond, Tartu linn, Tartu linn, Teguri tn 5",Teguri tn 5,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE01033216,"120303613",120303613,https://livekluster.ehr.ee/ui/ehr/v1/building/120303613,5689985,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 105",Tähe tn 105,"11222; 12744","Muu kolme või enama korteriga elamu; Elamu, kooli vms abihoone",Jah,"55"
EE00773473,"104041449",104041449,https://livekluster.ehr.ee/ui/ehr/v1/building/104041449,722545,"Tartu maakond, Tartu linn, Tartu linn, Teguri tn 31",Teguri tn 31,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE01769898,"104033526",104033526,https://livekluster.ehr.ee/ui/ehr/v1/building/104033526,710515,"Tartu maakond, Tartu linn, Tartu linn, Aida tn 1",Aida tn 1,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE03671962,"120849238",120849238,https://livekluster.ehr.ee/ui/ehr/v1/building/120849238,645025,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 24",Aleksandri tn 24,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00749509,"104015479",104015479,https://livekluster.ehr.ee/ui/ehr/v1/building/104015479,710865,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 86",Võru tn 86,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00764388,"104031353",104031353,https://livekluster.ehr.ee/ui/ehr/v1/building/104031353,727186,"Tartu maakond, Tartu linn, Tartu linn, Aardla tn 11",Aardla tn 11,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE01128733,"120560044",120560044,https://livekluster.ehr.ee/ui/ehr/v1/building/120560044,728917,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 37",Aleksandri tn 37,"11101",Üksikelamu,Jah,"55"
