Index,Address,Room Count,Size,Price,Teenus_arv,Teenustase,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Toidukoht_arv,Parkimisnorm,Parkimis_koefitsent,MYRAKLASS,Longitude,Latitude,Distance
41,"Tartu, Tartu linn, Karlova, Raua tn 16a",3,49.5,89000,12.0,Baastase,49.39507545,2.0,1.0,5.0,9.0,75.0,0.75302462,55.0,26.73655473780488,58.365026,1875.5889928304332
42,"Tartu, Tartu linn, Veeriku, Viljandi mnt 72-14",2,38.6,75000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.676964198232906,58.36630405,3064.1690211277505
43,"Tartu, Tartu linn, Vaksali, Kooli 42",1,19.5,75900,38.0,Baastase,55.27831437,3.0,5.0,1.0,15.0,72.0,0.72360843,40.0,26.70659189421976,58.3781844,941.6530683455235
44,"Tartu, Annelinn, Kaunase pst 39",3,65.5,92000,16.0,Baastase,35.74140689,4.0,6.0,8.0,7.0,82.0,0.82129297,40.0,26.76984585427148,58.3732217,2887.2848668712436
45,"Tartu, Tartu linn, Tähtvere, Supilinn, Tähtvere tn 16",1,23.0,56000,40.0,Baastase,48.81125477,2.0,3.0,4.0,66.0,76.0,0.75594373,40.0,26.71247336502485,58.3835625,690.7425289099281
46,"Tartu, Tartu linn, Vaksali, Tähtvere , A. Haava tn 26",4,119.0,419500,30.0,Baastase,53.18272738,3.0,3.0,2.0,10.0,73.0,0.73408636,46.17695630081301,26.706080125404903,58.3776303,986.2484907174221
47,"Tartu, Tartu linn, Annelinn, Anne tn 80",3,65.3,97900,25.0,Baastase,36.60567071,4.0,6.0,8.0,10.0,82.0,0.81697165,40.0,26.762515137402016,58.3773867,2374.040982564025
48,"Tartu, Tartu linn, Annelinn, Sõpruse pst 5",4,71.1,125000,31.0,Hea tase,54.09480193,4.0,5.0,6.0,16.0,46.0,0.45905198,55.0,26.75153068514319,58.37867365,1719.382523452087
49,"Tartu, Tartu linn, Karlova, Võru tn 108-3",3,46.7,169000,26.0,Hea tase,62.94665271,3.0,1.0,5.0,37.0,37.0,0.37053347,60.0,26.99183570957521,57.84508462573893,61671.90682720341
50,"Tartu, Tartu linn, Ülejõe, Uus 45-5",3,72.0,329500,18.0,Baastase,55.28835382,3.0,1.0,13.0,11.0,72.0,0.72355823,45.0,26.74143098404255,58.38091,1124.7282231365577
51,"Tartu, Jaamamõisa, Jaama 111a",4,118.2,136000,22.0,Baastase,52.22981592,4.0,1.0,6.0,13.0,74.0,0.73885092,60.0,26.747211625,58.382174,1477.4449995255652
52,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-16",2,50.0,151900,4.0,-,10.46764837,0.0,1.0,2.0,1.0,100.0,1.0,46.17695630081301,26.71622173694607,58.4020675,2472.3025326845172
53,"Tartu, Tartu linn, Annelinn, Anne 47",1,27.0,83000,33.0,Hea tase,53.7971665,4.0,4.0,6.0,17.0,46.0,0.46202834,55.0,26.75011834143418,58.3778769,1648.1196727079264
54,"Tartu, Tartu linn, Annelinn, Rõduga korter teisel korrusel, Kaunase pst 12",2,47.2,85000,19.0,Baastase,33.66938377,4.0,6.0,7.0,9.0,83.0,0.83165308,46.17695630081301,26.76566744015444,58.374338,2619.1140448070487
55,"Tartu, Tartu linn, Karlova, Võru 108-4",2,31.1,139000,26.0,Hea tase,62.94665271,3.0,1.0,5.0,37.0,37.0,0.37053347,60.0,26.72150531081081,58.367179,1439.8481735344546
56,"Tartu, Tartu linn, Annelinn, Kaunase pst 7",3,65.7,109000,21.0,Baastase,35.74140689,4.0,6.0,8.0,6.0,82.0,0.82129297,46.17695630081301,26.76605169649985,58.373344900000006,2669.9888174106122
57,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-2 (Broneeritud)",3,70.4,208900,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.75054107562552,58.39220170178444,2133.5787409981417
58,"Tartu, Tartu linn, Kesklinn, Rebase tn 25",2,54.1,195000,10.0,-,38.45225608,1.0,0.0,3.0,8.0,100.0,1.0,50.0,26.747055250000003,58.3679475,1983.8867072763248
59,"Tartu, Tartu linn, Ränilinn, Aardla tn 132",2,48.1,123000,16.0,-,45.87924863,0.0,1.0,3.0,13.0,100.0,1.0,50.0,26.680062272875816,58.352842,3914.0328732832345
60,"Tartu, Tartu linn, Veeriku, L. Puusepa tn 24",2,51.5,82000,25.0,Baastase,61.57971859,2.0,4.0,4.0,4.0,69.0,0.69210141,46.17695630081301,26.696692309405947,58.3748635,1606.0686194832572
61,"Tartu, Tartu linn, Annelinn, Anne tn 47",2,37.3,85000,33.0,Hea tase,53.7971665,4.0,4.0,6.0,17.0,46.0,0.46202834,55.0,26.75011834143418,58.3778769,1648.1196727079264
62,"Tartu, Tartu linn, Supilinn, Herne 15",2,45.1,96000,38.0,Baastase,43.74308742,1.0,1.0,3.0,29.0,78.0,0.78128456,45.0,26.716742438488843,58.38526825,660.2521032939552
63,"Tartu, Tartu linn, Ropka tööstusrajoon, Vasara tn 25b",2,49.2,104000,7.0,Baastase,55.8768075,1.0,2.0,2.0,4.0,72.0,0.72061596,45.0,26.725882168443498,58.347608,3625.227228877519
64,"Tartu, Tartu linn, Tähtvere, Tähtvere tn 16-9",1,24.9,67000,40.0,Baastase,48.81125477,2.0,3.0,4.0,66.0,76.0,0.75594373,40.0,26.71247336502485,58.3835625,690.7425289099281
65,"Tartu, Tartu linn, Ränilinn, Laseri tn 6a",1,34.4,119000,1.0,-,34.79438056,0.0,1.0,2.0,1.0,100.0,1.0,45.0,26.68052895417744,58.3511281,4047.389991262209
66,"Tartu, Tartu linn, Annelinn, Anne 77",3,63.0,115000,23.0,Baastase,26.57337897,4.0,6.0,9.0,10.0,87.0,0.86713311,46.17695630081301,26.761779576957338,58.375062,2378.8940124124742
67,"Tartu, Tartu linn, Vaksali, Vabriku 3",2,39.2,159000,31.0,Baastase,56.69814169,3.0,3.0,3.0,10.0,72.0,0.71650929,40.0,26.70432418182064,58.37710185,1101.6829332243742
68,"Tartu, Tartu linn, Vaksali, Võru tn 53a",3,60.1,125000,20.0,Baastase,59.08587495,3.0,1.0,6.0,33.0,70.0,0.70457063,46.17695630081301,26.72102297134303,58.367362,1420.6426465542424
69,"Tartu, Tartu linn, Annelinn, Kalda tee 28-35",3,72.7,112000,14.0,Baastase,36.7939511,4.0,6.0,8.0,5.0,82.0,0.81603024,55.0,26.76469315909091,58.3718615,2646.521317344958
70,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 13 (Broneeritud)",1,33.6,79900,16.0,Baastase,35.92088439,2.0,6.0,6.0,8.0,82.0,0.82039558,46.17695630081301,26.774334627211665,58.3721055,3173.942967156925
71,"Tartu, Tartu linn, Ülejõe, Ranna tee 1a",2,47.4,160000,25.0,Baastase,54.30724842,1.0,2.0,4.0,8.0,73.0,0.72846376,40.0,26.720188934931503,58.389228,1024.0063253601309
72,"Tartu, Tartu linn, Ülejõe, Aruküla tee 24",3,44.0,99000,3.0,-,10.46764837,0.0,0.0,2.0,0.0,100.0,1.0,55.0,26.707720559102626,58.4022557,2610.3987597952732
73,"Tartu, Tartu linn, Raadi-Kruusamäe, Puiestee tn 112a",2,35.9,84000,8.0,Baastase,51.47170237,2.0,2.0,5.0,8.0,74.0,0.74264149,46.17695630081301,26.74172199999999,58.38529325,1276.643004992953
